Date,Problem Name,URL,Platform,Difficulty,Topic,Time Spent,Hint Used,Solved Independently,Revision Required,Notes
"2026-07-19","Largest Odd Number in a String","https://takeuforward.org/plus/dsa/problems/largest-odd-number-in-a-string?source=strivers-a2z-dsa-track","TUF","Easy","Strings","25m 0s","Yes","Yes","Yes","TC - O(N)"
"2026-07-18","Largest Subarray with Sum 0","https://takeuforward.org/plus/dsa/problems/largest-subarray-with-sum-0?source=strivers-a2z-dsa-track","TUF","Medium","Array","1h 10m 5s","Yes","Yes","Yes","Prefix sum along with a Hashmap.
TC - (N)
SC - (N)"
"2026-07-17","Reverse every word in a string","https://takeuforward.org/plus/dsa/problems/reverse-every-word-in-a-string?tab=discussion&source=strivers-a2z-dsa-track&discussion_id=2275","TUF","Medium","Strings","29m 8s","No","Yes","Yes","TC - O(N)
SC - O(N)"
"2026-07-17","Kth Missing Positive Number","https://takeuforward.org/plus/dsa/problems/kth-missing-positive-number?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","1h 24m 33s","Yes","Yes","Yes","TC - O(log n);
SC - O(1)"
"2026-07-17","Aggressive Cows","https://takeuforward.org/plus/dsa/problems/aggressive-cows?source=strivers-a2z-dsa-track","TUF","Hard","Binary Search","48m 12s","No","Yes","Yes","TC - O(N * log N) 
SC - O(1)"
"2026-07-15","Find the smallest divisor","https://takeuforward.org/plus/dsa/problems/find-the-smallest-divisor?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","48m 53s","Yes","No","No","ceil(a/b) = (a + b - 1) / b

TC - O(N * log(max_element)"
"2026-07-15","Capacity to Ship Packages Within D Days","https://takeuforward.org/plus/dsa/problems/capacity-to-ship-packages-within-d-days?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","41m 39s","Yes","No","Yes","Offset, since it will require a day even if the sum weight is less than the mid, the day counter starts at 1.

TC - O(N) * O(sum(ele) - max(ele))
SC - O(1)"
"2026-07-15","Remove Outermost Parentheses","http://takeuforward.org/plus/dsa/problems/reverse-every-word-in-a-string?tab=discussion&source=strivers-a2z-dsa-track&discussion_id=2275","TUF","Medium","Strings","28m 26s","Yes","No","Yes","TC - O(N)"
"2026-07-14","Minimum days to make M bouquets","https://takeuforward.org/plus/dsa/problems/minimum-days-to-make-m-bouquets?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","1h 11m 41s","Yes","No","Yes","TC = O(N * log(Max_day - Min_day))
SC = O(1)"
"2026-07-13","Koko eating bananas","https://takeuforward.org/plus/dsa/problems/koko-eating-bananas?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","49m 20s","Yes","Yes","Yes","BS on answer.
TC - O(N * log MaxEle)
Since our BS search space is between 1->MaxEle"
"2026-07-13","Four Sum","https://takeuforward.org/plus/dsa/problems/4-sum?source=strivers-a2z-dsa-track","TUF","Medium","Array","1h 4m 7s","Yes","No","Yes","TC - O(n^3) since n^3 grows much faster than nlogn we could just drop it."
"2026-07-12","Three Sum","https://takeuforward.org/plus/dsa/problems/3-sum?source=strivers-a2z-dsa-track","TUF","Medium","Array","1h 37m 4s","Yes","Yes","Yes","TC - O(n^2)

There is still issues with the method, apparently there is a two pointer approach for this, will do it later while revising."
"2026-07-12","Find square root of a number","https://takeuforward.org/plus/dsa/problems/find-square-root-of-a-number?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","3m 19s","Yes","Yes","No","BS on answers
TC - O(log n)

Sqrt(n) -> gives in O(1) but this is just to show how does BS works where we have a range of answers."
"2026-07-12","Find Nth root of a number","https://takeuforward.org/plus/dsa/problems/find-nth-root-of-a-number?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","4m 44s","Yes","Yes","Yes","TC - N(log M * D) -> D is the decimal place of the search space.(D = 10 for 1 decimal place and so on) 
-> Not the Correct approach for the given question but its correct if were to find root upto 6 decimal places."
"2026-07-11","Single element in sorted array","https://takeuforward.org/plus/dsa/problems/single-element-in-sorted-array?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","56m 40s","No","Yes","Yes","TC - O(log n)
SC - O(1)
For edge case like the first and the last index, we can just check them manually before the main loop. Then we just have the search space from 1 -> n-2."
"2026-07-11","Find peak element","https://takeuforward.org/plus/dsa/problems/find-peak-element?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","20m 41s","Yes","Yes","Yes","TC - O(log n)"
"2026-07-10","Find out how many times the array is rotated","https://takeuforward.org/plus/dsa/problems/find-out-how-many-times-the-array-is-rotated?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","28s","Yes","Yes","Yes","TC - O(log N)"
"2026-07-08","First and last occurrence","https://takeuforward.org/plus/dsa/problems/first-and-last-occurrence?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","46m 31s","Yes","Yes","No","TC - O(log N)
SC - O(1)"
"2026-07-08","Count Occurance in a Sorted Array","https://takeuforward.org/plus/dsa/problems/count-occurrences-in-a-sorted-array?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","4m 0s","No","Yes","No","TC - O(log n)
SC - O(1)"
"2026-07-08","Search in rotated sorted array-I","https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-i?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","47m 7s","Yes","Yes","No","TC - O(log n)
SC - O(1)"
"2026-07-08","Search in rotated sorted array-II","https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-2?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","16m 30s","No","Yes","Yes","TC - O(log n)
SC - O(1)
Check was needed for if low = mid = high;"
"2026-07-07","Lower bound","https://takeuforward.org/plus/dsa/problems/lower-bound-?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","0s","No","Yes","No","TC - O(log n)
SC - O(1)"
"2026-07-07","Upper Bound","https://takeuforward.org/plus/dsa/problems/upper-bound?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","4m 24s","No","Yes","No","TC - O(log n)

SC - O(1)"
"2026-07-07","Search Insert Postion","https://takeuforward.org/plus/dsa/problems/search-insert-position?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","2m 13s","No","Yes","No","TC - O(log n)
SC - O(1)"
"2026-07-07","Floor and Ceiling","https://takeuforward.org/plus/dsa/problems/floor-and-ceil-in-sorted-array?source=strivers-a2z-dsa-track","TUF","Easy","Binary Search","32m 2s","Yes","Yes","No","TC - O(2 * log n)
SC - O(l1)"
